Longitude,Latitude,Community,IncorporationType,AreaType,Population,Year,Is_Subsistence_Use,Is_Essential_Air_Service,Is_Environmentally_Threatened
-141.2075972,64.7889396800001,Eagle,2nd Class City,Community,79,2016,1,0,1
-159.5305977,62.6553703500001,Shageluk,2nd Class City,Community,71,2015,1,0,1
-151.3195796,60.36911853,Cohoe,CDP,Community,1489,2016,1,0,0
-157.0069244,58.71326678,South Naknek,CDP,Community,64,2016,1,1,1
-156.6676467,58.6813712700001,King Salmon,CDP,Community,316,2016,1,0,0
-150.0108417,61.3551864900001,Point MacKenzie,CDP,Community,2026,2015,1,0,0
-152.2228178,57.61797554,Chiniak,CDP,Place of Interest,46,2016,0,0,0
-162.6000777,66.8951658300001,Northwest Arctic Borough,Non-Unified Home Rule Borough,Community,7774,2014,1,0,0
-155.5883531,62.9501408500001,McGrath,2nd Class City,Community,315,2014,1,0,1
-166.0707644,66.25510533,Shishmaref,2nd Class City,Community,574,2015,1,0,1
-157.3757505,58.2090702300001,Egegik,2nd Class City,Community,104,2015,1,1,1
-154.8575714,59.9678738700001,Nondalton,2nd Class City,Community,152,2015,1,0,1
-162.2914977,63.52380972,Stebbins,2nd Class City,Community,630,2016,1,0,1
-145.1796574,61.66126868,Tonsina,Unincorporated CDP,Place of Interest,85,2015,1,0,0
-150.6371652,64.9958868300001,Manley Hot Springs,Unincorporated CDP,Community,127,2016,1,0,1
-166.0964332,61.5308796900001,Hooper Bay,2nd Class City,Community,1210,2015,1,0,1
-158.621625,59.2792073700001,Aleknagik,2nd Class City,Community,217,2016,1,0,1
-130.0255142,55.9157523000001,Hyder,Unincorporated CDP,Community,94,2014,1,0,0
-161.1943563,64.3545557,Shaktoolik,2nd Class City,Community,274,2015,1,0,1
-150.7679026,62.4964964500001,Petersville,CDP,Community,3,2015,1,0,0
-160.9564605,61.09868491,Tuluksak,Unincorporated CDP,Community,372,2015,1,0,1
-135.989808,59.3937181100001,Covenant Life,CDP,Place of Interest,65,2014,1,0,0
-159.5275949,61.5787638800001,Aniak,2nd Class City,Community,532,2015,1,0,1
-153.9814353,57.5370683300001,Larsen Bay,2nd Class City,Community,85,2015,1,0,0
-157.8565278,67.0864707800001,Ambler,2nd Class City,Community,274,2014,1,0,1
-151.6751012,60.04305213,Ninilchik,CDP,Community,847,2015,0,0,1
-164.6294162,60.93686382,Newtok,Unincorporated CDP,Community,372,2016,1,0,1
-165.7735393,54.13431811,Akutan,2nd Class City,Community,1000,2016,1,1,1
-131.5976178,55.3189242300001,Saxman,2nd Class City,Community,418,2016,0,0,1
-160.2806073,59.07512832,Twin Hills,Unincorporated CDP,Community,85,2016,1,1,1
-135.4457083,58.10953807,Hoonah,1st Class City,Community,787,2014,1,0,1
-176.6402959,51.86824598,Adak,2nd Class City,Community,309,2016,1,1,1
-170.2822883,57.1203994800001,Saint Paul,2nd Class City,Community,397,2016,1,0,1
-132.4039292,55.5396225600001,Kasaan,2nd Class City,Community,75,2014,1,0,1
-163.2870194,62.0318125700001,Pitkas Point,Unincorporated CDP,Community,117,2016,1,0,1
-134.5808463,57.4995695000001,Angoon,2nd Class City,Community,426,2015,1,1,1
-155.4370226,61.3553888800001,Lime Village,Unincorporated CDP,Community,25,2014,1,0,1
-148.3372,70.2553,Prudhoe Bay,CDP,Place of Interest,2174,2016,1,0,0
-168.8601835,52.9401089500001,Nikolski,Unincorporated CDP,Community,18,2014,1,1,1
-132.6500231,55.4822323000001,Hollis,Unincorporated CDP,Community,120,2014,1,0,0
-150.9990162,70.21731414,Nuiqsut,2nd Class City,Community,446,2015,1,0,1
-144.0493401,63.65559219,Dot Lake Village,Unincorporated CDP,Place of Interest,50,2014,1,0,1
-150.1895984,67.25623468,Coldfoot,Unincorporated CDP,Place of Interest,8,2016,1,0,0
-166.5376818,53.8730924600001,Unalaska,1st Class City,Community,4448,2016,1,0,0
-146.5383,62.0494,Mendeltna,Unincorporated CDP,Community,39,2014,1,0,0
-145.3018732,62.3018968100001,Gakona,Unincorporated CDP,Community,205,2015,1,0,0
-136.0314547,59.44650625,Mosquito Lake,CDP,Place of Interest,262,2015,1,0,0
-163.4147388,54.8550308600001,False Pass,2nd Class City,Community,60,2014,1,1,1
-151.0810742,60.53130471,Ridgeway,CDP,Community,2187,2015,1,0,0
-160.4373192,66.9742028200001,Kiana,2nd Class City,Community,421,2016,1,0,1
-133.3478063,57.46425365,Hobart Bay,CDP,Place of Interest,1,2015,1,0,0
-154.8575714,59.9678738700001,Nondalton,2nd Class City,Community,153,2016,1,0,1
-150.9159762,59.8535156300001,Fox River,CDP,Place of Interest,674,2016,1,0,0
-171.7188264,63.7768845400001,Gambell,2nd Class City,Community,721,2016,1,0,1
-156.6676467,58.6813712700001,King Salmon,CDP,Community,335,2015,1,0,0
-162.8541552,68.07171169,Red Dog Mine,CDP,Place of Interest,309,2014,1,0,0
-151.5057845,66.92462485,Evansville,Unincorporated CDP,Place of Interest,2,2014,1,0,0
-157.1381905,66.8880443,Shungnak,2nd Class City,Community,290,2015,1,0,1
-165.1072343,60.52954536,Toksook Bay,2nd Class City,Community,622,2015,1,0,1
-166.0964332,61.5308796900001,Hooper Bay,2nd Class City,Community,1188,2016,1,0,1
-154.0995667,59.78824382,Pedro Bay,CDP,Community,42,2014,1,0,1
-154.375216,63.01373203,Nikolai,2nd Class City,Community,87,2015,1,0,1
-148.5485005,65.5228139800001,Livengood,Unincorporated CDP,Place of Interest,11,2016,1,0,0
-146.1129134,62.09714581,Tolsona,Unincorporated CDP,Community,32,2015,1,0,0
-150.7679026,62.4964964500001,Petersville,CDP,Community,3,2014,1,0,0
-143.0117859,62.37195602,Nabesna,Unincorporated CDP,Place of Interest,2,2015,1,0,0
-132.6500231,55.4822323000001,Hollis,Unincorporated CDP,Community,94,2015,1,0,0
-133.1510826,55.4760442100001,Craig,1st Class City,Community,1180,2015,1,0,1
-143.7278962,66.65040098,Chalkyitsik,Unincorporated CDP,Community,79,2016,1,0,1
-148.5485005,65.5228139800001,Livengood,Unincorporated CDP,Place of Interest,12,2015,1,0,0
-156.5882554,61.7871601300001,Stony River,Unincorporated CDP,Community,41,2016,1,0,1
-152.3977209,57.7931666200001,Kodiak Island Borough,2nd Class Borough,Community,13563,2016,0,0,0
-133.2026781,55.86896699,Naukati Bay,Unincorporated CDP,Community,123,2014,1,0,0
-160.0101102,66.60439151,Selawik,2nd Class City,Community,876,2014,1,0,1
-145.1796574,61.66126868,Tonsina,Unincorporated CDP,Place of Interest,77,2016,1,0,0
-149.0111034,61.69132433,Buffalo Soapstone,CDP,Community,876,2015,1,0,0
-163.7262756,62.08954141,Mountain Village,2nd Class City,Community,857,2014,1,0,1
-161.8147503,59.00848275,Platinum,2nd Class City,Community,60,2015,1,0,1
-171.7188264,63.7768845400001,Gambell,2nd Class City,Community,698,2015,1,0,1
-158.1058165,61.8704253700001,Crooked Creek,Unincorporated CDP,Community,105,2015,1,0,1
-154.4366825,57.56248915,Karluk,CDP,Community,24,2016,1,0,1
-162.5929893,66.8966754200001,Kotzebue,2nd Class City,Community,3153,2014,1,0,1
