Longitude,Latitude,Community,Incorporation_Type,Area_Type,Borough_Census_Area,2021_Population,Subsistence_Use,Essential_Air_Service,Environmentally_Threatened
-151.83172437,59.3515619300001,Port Graham,CDP,Community,Kenai Peninsula Borough,160,1,0,1
-160.43731917,66.9742028200001,Kiana,2nd Class City,Community,Northwest Arctic Borough,433,1,0,1
-150.0512588,62.44980587,Chase,CDP,Community,Matanuska-Susitna Borough,19,0,0,0
-152.22281779,57.61797554,Chiniak,CDP,Place of Interest,Kodiak Island Borough,51,0,0,0
-153.88450386,59.7801887900001,Pile Bay,Locality,Place of Interest,Lake and Peninsula Borough,0,0,0,0
-158.46307877,59.0393744300001,Dillingham,1st Class City,Community,Dillingham Census Area,2209,1,0,1
-165.40855986,64.49808969,Nome,1st Class City,Community,Nome Census Area,3524,1,0,1
-149.87993996,70.4975517300001,Oliktok,Locality,Place of Interest,North Slope Borough,0,0,0,0
-150.92471164,70.34435668,Alpine,Locality,Place of interest,North Slope Borough,0,0,0,0
-161.97262602,60.6943313400001,Napakiak,2nd Class City,Community,Bethel Census Area,361,1,0,1
-161.16487363,64.9306613100001,Koyuk,2nd Class City,Community,Nome Census Area,307,1,0,1
-141.010596,62.6221071900001,Alcan Border,Unincorporated CDP,Place of Interest,Southeast Fairbanks Census Area,39,1,0,0
-131.62990791,55.3211840600001,Pennock Island,Locality,Place of Interest,Ketchikan Gateway Borough,0,0,0,0
-147.48814616,64.8923484100001,Steele Creek,CDP,Place of Interest,Fairbanks North Star Borough,6381,1,0,0
-149.315544,61.5875610000001,South Lakes,CDP,Place of Interest,Matanuska-Susitna Borough,5173,0,0,0
-154.89480018,59.72097095,Newhalen,2nd Class City,Community,Lake and Peninsula Borough,178,1,0,1
-151.09658113,59.7942847800001,Voznesenka Village,Locality,Community,Kenai Peninsula Borough,0,1,0,0
-163.15761839,59.8770966700001,Kwigillingok,Unincorporated CDP,Community,Bethel Census Area,380,1,0,1
