Longitude,Latitude,Community,School,Year,TotalEnrollmentK12,TotalTeacherCount,StudentTeacherRatio,SchoolDistrict,In_Cohort,Graduates,GraduationRate
-152.398204978,57.793215488,Kodiak,AKTEACH,2015,101,2,126.3,Kodiak Island Borough School District,19,9,0.4737
-152.398204978,57.793215488,Kodiak,AKTEACH,2016,112,1,111.6,Kodiak Island Borough School District,20,10,0.5
-152.398204978,57.793215488,Kodiak,AKTEACH,2017,142,3,67.62,Kodiak Island Borough School District,19,8,0.4211
-152.398204978,57.793215488,Kodiak,AKTEACH,2018,185,3,80.43,Kodiak Island Borough School District,18,9,0.5
-152.398204978,57.793215488,Kodiak,AKTEACH,2019,125,1,125,Kodiak Island Borough School District,14,6,0.4286
-152.398204978,57.793215488,Kodiak,AKTEACH,2020,98,1,98,Kodiak Island Borough School District,7,4,0.5714
-152.398204978,57.793215488,Kodiak,AKTEACH,2021,230,3,92,Kodiak Island Borough School District,6,3,0.5
-149.886960889,61.217884736,Anchorage,AVAIL School,2018,101,4,25.57,Anchorage School District,64,34,0.5313
-149.886960889,61.217884736,Anchorage,AVAIL School,2020,86,6,17.13,Anchorage School District,47,21,0.4468
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2013,395,25,17.7,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2014,377,27,16.4,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2015,362,28,16.4,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2016,341,27,15.2,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2017,314,24,15.39,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2018,313,23,15.97,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2019,296,19,16.44,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2020,280,24,15.46,Anchorage School District,,,
-149.832772656,61.1439834670001,Anchorage,Abbott Loop Elementary,2021,222,21,14.52,Anchorage School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2013,238,18,19.1,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2014,235,19,14.3,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2015,234,20,13.9,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2016,241,19,15.5,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2017,244,18,14.49,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2018,247,18,15.25,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2019,254,19,17.39,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2020,254,19,14.41,Matanuska-Susitna Borough School District,,,
-149.09408071,61.60720331,Palmer,Academy Charter School,2021,253,19,14.74,Matanuska-Susitna Borough School District,,,
